Financial_Year,Date_of_Fund_Release,State,District,Department,Scheme_Name,Fund_Source,Implementing_Agency,Sanctioned_Amount_Lakhs,Fund_Released_Lakhs,Fund_Utilized_Lakhs,Utilization_Percent,Physical_Target_Units,Physical_Achievement_Units,Physical_Achievement_Percent,Beneficiaries_Target,Beneficiaries_Covered,Beneficiary_Coverage_Percent,Status
2022-23,2021-08-25,West Bengal,Siliguri ,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,588.66,517.65,212.25,41.0,427,38.0,8.899297423887589,4138,344.0,8.313194780086999,Delayed
2021-22,2023-04-16,Tamil Nadu,Salem,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,State Nodal Agency,88.56,44.61,27.25,61.08,367,104.0,28.337874659400548,4988,1373.0,27.52606255012029,Delayed
2023-24,2023-01-31,Kerala,Thiruvananthapuram,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,764.59,634.28,174.44,81.965,6,5.0,83.33333333333334,2151,1621.0,75.36029753602975,Delayed
2023-24,2024-08-29,West Bengal,Asansol,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),NGO / Partner Organisation,262.37,247.44,147.35,59.55,55,3.0,5.454545454545454,4122,213.0,5.167394468704512,Ongoing
2021-22,2021-06-21,Karnataka,Belagavi,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,731.94,593.82,451.45,76.02,406,337.0,83.00492610837439,2984,2565.0,85.95844504021449,Delayed
2024-25,2021-11-06,Tamil Nadu, Madurai,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,State Nodal Agency,367.78,362.65,304.41,83.94,462,187.0,40.476190476190474,1779,730.0,41.034288926363125,Delayed
2022-23,2023-09-12,Kerala,kozhikode,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),NGO / Partner Organisation,698.04,623.38,552.95,88.7,432,431.0,99.76851851851852,604,562.0,93.04635761589404,Completed
2023-24,2024-01-04,West Bengal,Durgapur,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Gram Panchayat,46.62,45.85,35.3,76.99,221,132.0,59.72850678733032,2404,1473.0,61.272878535773714,Ongoing
2021-22,2022-04-27,Gujarat,Bhavnagar,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),State Nodal Agency,136.61,127.16,105.9,83.28,407,405.0,99.5085995085995,631,565.0,89.54041204437401,Ongoing
2021-22,2023-03-08,Tamil Nadu,Salem,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),NGO / Partner Organisation,198.66,179.7,175.81,97.84,58,58.0,100.0,4298,4167.0,96.95207073057236,Completed
2023-24,2023-08-17,Tamil Nadu,Salem,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,State Nodal Agency,592.29,479.4,454.3,94.76,83,82.0,98.79518072289156,2455,2227.0,90.71283095723014,Completed
2021-22,2023-07-02,Tamil Nadu,Salem,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Gram Panchayat,371.47,210.05,187.8,89.41,280,185.0,66.07142857142857,3323,2184.0,65.72374360517604,Ongoing
2023-24,2021-07-07,Madhya Pradesh,Bhopal,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),85.68,84.61,0.0,0.0,223,0.0,0.0,1900,0.0,0.0,Not Started
2024-25,2022-05-08,Madhya Pradesh,Ujjain,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),State Nodal Agency,223.12,218.39,0.0,0.0,366,0.0,0.0,3833,0.0,0.0,Not Started
2024-25,2024-04-13,Gujarat, Rajkot,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,42.64,28.2,21.49,76.21,223,147.0,65.91928251121077,3463,2292.0,66.185388391568,Ongoing
2022-23,2023-06-02,Tamil Nadu,Chennai,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,671.81,645.8,613.68,95.03,317,317.0,100.0,104,101.0,97.11538461538461,Completed
2023-24,2024-04-04,Gujarat,Surat,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),475.04,360.97,157.44,43.62,318,85.0,26.729559748427672,344,95.0,27.61627906976744,Delayed
2024-25,2022-08-31,Karnataka,Belagavi,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),State Nodal Agency,39.82,33.3,12.15,36.49,82,18.0,21.951219512195124,2108,438.0,20.777988614800762,Delayed
2022-23,2021-09-28,Uttar Pradesh, Kanpur,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),Gram Panchayat,577.28,439.06,346.51,78.92,343,249.0,72.59475218658892,220,159.0,72.27272727272728,Delayed
2022-23,2023-02-19,Kerala, Kozhikode,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),NGO / Partner Organisation,262.54,248.37,147.92,59.56,458,260.0,56.76855895196506,1610,900.0,55.90062111801242,Ongoing
2021-22,2023-02-23,Madhya Pradesh,Ujjain,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,318.83,220.49,218.41,99.06,382,381.0,99.73821989528795,4028,3793.0,94.16583912611718,Completed
2024-25,2024-09-23,Tamil Nadu,Salem,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,589.71,489.56,230.7,47.12,211,56.0,26.540284360189574,1968,494.0,25.101626016260166,Ongoing
2023-24,2023-08-06,West Bengal,Kolkata ,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Urban Local Body (ULB),375.43,362.77,355.4,97.97,353,352.0,99.71671388101983,2037,2001.0,98.23269513991163,Completed
