OrderID,OrderDate,Region,Category,Product,Quantity,Sales,Profit
1001,2026-01-05,North,Electronics,Laptop,2,120000,18000
1002,2026-01-08,South,Furniture,Chair,5,25000,5000
1003,2026-01-12,East,Electronics,Mobile,4,80000,12000
1004,2026-01-15,West,Office Supplies,Notebook,20,10000,2500
1005,2026-01-20,North,Furniture,Table,3,45000,9000
1006,2026-02-03,South,Electronics,Laptop,1,60000,9000
1007,2026-02-07,East,Office Supplies,Pen,50,5000,1500
1008,2026-02-11,West,Electronics,Mobile,3,60000,9000
1009,2026-02-16,North,Office Supplies,Notebook,30,15000,4000
1010,2026-02-20,South,Furniture,Chair,8,40000,8000
1011,2026-03-02,East,Electronics,Laptop,2,120000,18000
1012,2026-03-06,West,Furniture,Table,4,60000,12000
1013,2026-03-10,North,Electronics,Mobile,5,100000,15000
1014,2026-03-15,South,Office Supplies,Pen,80,8000,2400
1015,2026-03-20,East,Furniture,Chair,6,30000,6000
1016,2026-04-04,West,Electronics,Laptop,2,120000,18000
1017,2026-04-09,North,Furniture,Table,2,30000,6000
1018,2026-04-14,South,Electronics,Mobile,4,80000,12000
1019,2026-04-18,East,Office Supplies,Notebook,40,20000,5000
1020,2026-04-25,West,Furniture,Chair,7,35000,7000
