order_id,customer_id,order_date,order_status
1,1,2024-01-02,Delivered
2,2,2024-01-03,Delivered
3,3,2024-01-04,Pending
4,4,2024-01-05,Cancelled
5,5,2024-01-06,Delivered
6,6,2024-01-07,Shipped
7,7,2024-01-08,Delivered
8,8,2024-01-09,Pending
9,9,2024-01-10,Delivered
10,10,2024-01-11,Shipped
11,11,2024-01-12,Delivered
12,12,2024-01-13,Cancelled
13,13,2024-01-14,Delivered
14,14,2024-01-15,Pending
15,15,2024-01-16,Delivered
16,16,2024-01-17,Shipped
17,17,2024-01-18,Delivered
18,18,2024-01-19,Pending
19,19,2024-01-20,Delivered
20,20,2024-01-21,Delivered
21,21,2024-01-22,Shipped
22,22,2024-01-23,Delivered
23,23,2024-01-24,Pending
24,24,2024-01-25,Cancelled
25,25,2024-01-26,Delivered
26,26,2024-01-27,Delivered
27,27,2024-01-28,Shipped
28,28,2024-01-29,Pending
29,29,2024-01-30,Delivered
30,30,2024-01-31,Delivered
